$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^完全に主導権を握り、俺を責めることを楽しんでるような、そんな(.+?)の姿に、俺の興奮も高まっていく。$	완전하게 주도권을 잡아, 나를 탓하는 것을 즐기고 있는 것 같은, 그런 $1의 모습에, 나의 흥분도 높아져 간다.
$^も、もう……出そうだよ、(.+?)……！$	도, 이제(벌써)…… 나올 것 같아, $1……!
$^堪え切れずにそう告げると、(.+?)は少し責めるのを緩めて、煽るように聞いてくる。$	견디지 못하고 그렇게 고하면, $1는 조금 꾸짖는 것을 느슨하게해, 부추기도록(듯이) (들)물어 온다.
$^すると(.+?)は淫蕩な笑みを浮かべ、俺を煽りながら跨ってくる。$	그러자 $1는 음탕한 미소를 띄워, 나를 부추기면서 걸쳐 온다.
$^(.+?)が俺の上に跨ると、それだけで濡れた感触が伝わってきた。$	$1가 나 위에 걸치면, 그것만으로 젖은 감촉이 전해져 왔다.
$^濡れていることを指摘すると、(.+?)は頬を赤らめて微笑む。$	젖고 있는 것을 지적하면, $1는 뺨을 붉혀 미소짓는다.
$^そう言ってそのまま、(.+?)がペニスを挿入する。$	그렇게 말해 그대로, $1가 페니스를 삽입한다.
$^(.+?)はそう言って笑みを浮かべた。$	$1는 그렇게 말해 미소를 띄웠다.
$^そしてそのまま体を倒してくると、(.+?)の方からキスをしてくる。$	그리고 그대로 몸을 넘어뜨려 오면, $1로부터 키스를 해 온다.
$^熱烈に舌を絡め、唇に吸い付きながら、(.+?)は淫らに腰を動かす。$	열렬하게 혀를 걸어, 입술에 달라붙으면서, $1는 추잡하게 허리를 움직인다.
$^そして腰使いは徐々に加速し、(.+?)の腰が弾んでいく。$	그리고 허리 사용은 서서히 가속해, $1의 허리가 튀어 간다.
$^喘ぎ混じりに息を弾ませながら、(.+?)は淫らに腰を弾ませる。$	허덕여 섞임에 숨을 가쁘게 쉬면서, $1는 추잡하게 허리를 튀게 한다.
$^その高まりに堪え切れず、俺は(.+?)の胸へと手を伸ばした。$	그 높아짐에 견디지 않고, 나는 $1의 가슴으로 손을 뻗었다.
$^そう言いつつも、(.+?)はどことなく嬉しそうだ。$	그렇게 말하면서도, $1는 어딘지 모르게 기쁜 듯하다.
$^(.+?)の漏らす喘ぎも一段と大きくなり、それが淫らに響き渡る。$	$1의 흘리는 허덕임도 한층 커져, 그것이 추잡하게 울려 퍼진다.
$^射精へと向かって、(.+?)の腰使いは更に激しさを増す。$	사정으로 향해, $1의 허리 사용은 더욱 격렬함을 늘린다.
$^(.+?)は上からの台詞を口にしながら、俺を見詰めて微笑む。$	$1는 위로부터의 대사를 말하면서, 나를 응시해 미소짓는다.
$^ぎゅうぎゅう、とペニスをアソコで締め付ける(.+?)。$	꽉꽉, 이라고 페니스를 저기에서 단단히 조이는 $1.
$^ぐりぐり、と(.+?)はまるで俺のペニスをバイブのように扱う。$	동글동글, 라고 $1는 마치 나의 페니스를 바이브래이터와 같이 취급한다.
$^強く興奮している(.+?)。$	강하게 흥분하고 있는 $1.
$^普段の(.+?)からは想像できないかのような、妖艶な笑顔。$	평상시의 $1로부터는 상상 할 수 없는가와 같은, 요염한 웃는 얼굴.
$^(.+?)のおまんこに、出させてください……！$	$1의 보지에, 내게 해 주세요……!
$^ペニスと口を、まるで犯されているように(.+?)に弄ばれる。$	페니스와 입을, 마치 범해지고 있도록(듯이) $1에 희롱해진다.
$^(.+?)に好きなようにされて、俺はあっという間に耐え切れないぐらいの快楽を高められていく。$	$1에 좋을대로 되어, 나는 눈 깜짝할 순간에 계속 참을 수 없을 정도의 쾌락을 높여져 간다.
$^その刺激に導かれるように、俺は(.+?)の中に射精した。$	그 자극에 이끌리도록(듯이), 나는 $1안에 사정했다.
$^(.+?)も大きな声を上げ、仰け反りながら昇り詰める。$	$1도 큰 소리를 높여, 뒤로 젖히면서 끝까지 오른다.
$^冷めやらない余韻に浸りながら、(.+?)が俺に囁く。$	가시지 않은 여운에 잠기면서, $1가 나에게 속삭인다.
$^そんな表情で(.+?)は俺を見る。$	그런 표정으로 $1는 나를 본다.
$^凄く興奮したよ。こういう風に苛めてくれるのって(.+?)だけだし、またこんな風にしてほしいな……$	굉장히 흥분했어. 이런 식으로 괴롭혀 주는 것이라는 $1뿐이고, 또 이런 식으로 해 주었으면 하는데……
$^まだ俺と繋がったままで、(.+?)は顔を真っ赤にさせる。$	아직 나와 연결된 채로, $1는 얼굴을 새빨갛게 시킨다.
$^消え入りそうな声で、(.+?)も俺の気持ちに答えてくれる。$	스러질 것 같은 소리로, $1도 나의 기분에 대답해 준다.
$^うっとりと微笑む(.+?)を見詰め返し、俺は\1に頷き返す。$	넋을 잃고미소짓는 $1을 응시하고 돌려주어, 나는 $1에 수긍해 돌려준다.
$^そして濃密な長い夜を、(.+?)と共に過ごすのだった。$	그리고 진한 긴 밤을, $1와 함께 보내는 것이었다.
$^誰かと思ったら、(.+?)が水を持って来てくれた。$	누군가라고 생각하면, $1가 물을 가지고 와 주었다.
$^そっか……ありがとう、(.+?)。$	그래…… 고마워요, $1.
$^(.+?)から水を受け取り一口飲む。$	$1로부터 물을 받아 한입 마신다.
$^(.+?)にしてみたら、真摯に答えてくれたんだろう。$	$1로 해 보면, 진지하게 대답해 주었을 것이다.
$^だから俺はそう言って立ち上がり、(.+?)のことを抱きしめた。$	그러니까 나는 그렇게 말해 일어서, $1의 일을 껴안았다.
$^……まあ、確かにご主人様とメイドだけどださ……(.+?)は本当に真面目だね。二人きりの時ぐらい、こうして甘えてくれないと$	…… 뭐, 확실히 주인님과 메이드이지만이다…… $1는 정말로 성실하다. 단 둘일 때 정도, 이렇게 해 응석부려 주지 않으면
$^いきなり抱き締められて唇を奪われた(.+?)は、うっとりと俺を見詰めていた。$	갑자기 껴안을 수 있어 입술을 빼앗긴 $1은, 넋을 잃고나를 응시하고 있었다.
$^そして今度は(.+?)の方から、俺にキスをしてくれる。$	그리고 이번은 $1으로부터, 나에게 키스를 해 준다.
$^柔らかな唇が触れると、そこから(.+?)の思いが伝わってくるかのようだ。$	부드러운 입술이 닿으면, 거기로부터 $1의 생각이 전해져 올까와 같다.
$^(.+?)は俺の胸元でコクンと頷く。$	$1는 나의 앞가슴에서 끄덕 수긍한다.
$^俺に問い掛けに、(.+?)は微笑みながらそう答える。$	나에게 물음에, $1는 미소지으면서 그렇게 대답한다.
$^(.+?)の表情から、俺もその意図を察する。$	$1의 표정으로부터, 나도 그 의도를 헤아린다.
$^俺は(.+?)と連れ立って、大浴場へと向かった。$	나는 $1과 같이 가, 대목욕탕으로 향했다.
$^明るい場所で、全裸で向かい合っているとあって、(.+?)は恥ずかしそうに頬を染めている。$	밝은 장소에서, 전라로 서로 마주 보고 있으면 있어, $1는 부끄러운 듯이 뺨을 물들이고 있다.
$^(.+?)は恥ずかしさを誤魔化すように、そう言ってくる。$	$1는 부끄러움을 속이도록(듯이), 그렇게 말해 온다.
$^止められたことに対して、不思議そうに首を傾げた(.+?)。$	제지당했던 것에 대해, 이상한 것 같게 고개를 갸웃한 $1.
$^疲れてるけど、でもまあ……目の前の(.+?)がいるからね。$	피곤하지만, 그렇지만 뭐…… 눈앞의 $1가 있으니까요.
$^そんな(.+?)の丁寧な態度に、俺はメイドとしての成長を感じることが出来た。$	그런 $1의 정중한 태도에, 나는 메이드로서의 성장을 느낄 수가 있었다.
$^俺がそう頷くと、(.+?)はすぐに準備を始める。$	내가 그렇게 수긍하면, $1는 곧바로 준비를 시작한다.
$^だがそんな(.+?)へと、俺は少し注文を付けた。$	하지만 그런 $1으로, 나는 조금 주문을 했다.
$^でも、俺も(.+?)のことを苛めたいな……$	그렇지만, 나도 $1의 일을 괴롭히고 싶은데……
$^シックスナインなら、(.+?)に奉仕を受けながら、俺も\1を責められる。$	69라면, $1에 봉사를 받으면서, 나도 $1를 꾸짖을 수 있다.
$^しかし(.+?)の方は、少しだけ不満気だ。$	그러나 $1는, 약간 불만기분이다.
$^(.+?)は俺のペニスを丁寧に咥える。$	$1는 나의 페니스를 정중하게 문다.
$^その感触を味わいつつ、俺も(.+?)の秘部を舐めていく。$	그 감촉을 맛보면서, 나도 $1의 비부[秘部]를 빨아 간다.
$^……(.+?)の味がするね……$	……$1의 맛이 나네요……
$^恥ずかしそうにしながらも、(.+?)はしっかりと奉仕してくれていた。$	부끄러운 듯이 하면서도, $1는 제대로 봉사해 주고 있었다.
$^可愛らしく拗ねるような声を漏らして、(.+?)は熱心に奉仕してくれるが、少しもどかしい様子だった。$	사랑스럽게 등지는 것 같은 소리를 흘려, $1는 열심히 봉사해 주지만, 조금도 치워 있고 모습이었다.
$^そうだなぁ……このまま俺を先にイかせられたら、(.+?)に任せてもいいよ？$	그렇다…… 이대로 나를 먼저 보내지면, $1에 맡겨도 괜찮아?
$^俺が何気なくそう提案すると、(.+?)はすぐに乗ってきた。$	내가 아무렇지도 않고 그렇게 제안하면, $1는 곧바로 타 왔다.
$^早速、(.+?)は熱心にペニスを舐め始める。$	조속히, $1는 열심히 페니스를 빨기 시작한다.
$^すると俺の刺激に合わせて甘い吐息が漏れ、(.+?)の奉仕も熱を帯びる。$	그러자 나의 자극에 맞추어 달콤한 한숨이 새어, $1의 봉사도 열을 띤다.
$^(.+?)はここが感じるんだよね……？$	$1는 여기가 느끼는거네요……?
$^(.+?)の弱い所は把握している。$	$1의 약한 곳은 파악하고 있다.
$^そう言って(.+?)も、裏筋へと舌を這わせてくる。$	그렇게 말해 $1도, 성기 뒷부분으로 혀를 기게 해 온다.
$^流石に(.+?)も、俺の弱い所をしっかりと心得ている。$	과연 $1도, 나의 약한 곳을 제대로 알고 있다.
$^(.+?)もそれに対抗して、俺のペニスをしっかりと咥えてくる。$	$1도 거기에 대항해, 나의 페니스를 제대로 물어 온다.
$^口の周囲が唾液で濡れるのも気にせず、(.+?)は熱心に舐めしゃぶる。$	입의 주위가 타액으로 젖는 것도 신경쓰지 않고, $1는 열심히 빤다.
$^(.+?)の奉仕は激しさを増す一方で、俺も夢中になって愛撫を繰り返す。$	$1의 봉사는 격렬함을 늘리는 한편으로, 나도 열중해 애무를 반복한다.
$^そして俺と(.+?)は、ほぼ同時に限界を迎えた。$	그리고 나와 $1는, 거의 동시에 한계를 맞이했다.
$^射精の瞬間、指をぐっと突き立てると、その刺激によって(.+?)も昇り詰める。$	사정의 순간, 손가락을 훨씬 꽂으면, 그 자극에 의해 $1도 끝까지 오른다.
$^(.+?)は俺の射精をしっかりと口で受け止め、そのまま全て飲み干していった。$	$1는 나의 사정을 제대로 입으로 받아 들여, 그대로 모두 다 마셔 갔다.
$^射精の余韻を味わいながら、(.+?)にそう尋ねてみる。$	사정의 여운을 맛보면서, $1에 그렇게 물어 본다.
$^すると(.+?)は乱れた呼吸を整えつつ、懸命に強がってみせた。$	그러자 $1는 흐트러진 호흡을 정돈하면서, 열심히 강한척 해 보였다.
$^そっか、なら(.+?)の勝ちだね。$	그래, 라면 $1의 승리구나.
$^俺が勝ちを認めてやると、(.+?)は安心したように微笑んだ。$	내가 승리를 인정해 주면, $1는 안심한 것처럼 미소지었다.
$^じゃあ、続きは全部(.+?)に任せていいかな？$	그러면, 다음은 전부 $1에 맡겨도 좋을까?
$^そう言って(.+?)は悪戯っぽく微笑む。$	그렇게 말해 $1는 못된 장난 같게 미소짓는다.
$^しかし射精感が限界へと近付くと、(.+?)の手はまた勢いを落とし、ゆっくりとした動きになってしまう。$	그러나 사정감이 한계로 가까워지면, $1의 손은 또 기세를 떨어뜨려, 느긋한 움직임이 되어 버린다.
$^(.+?)は微笑みを浮かべてそう呟きつつ、俺のペニスを弄ぶ。$	$1는 미소를 띄워 그렇게 중얼거리면서, 나의 페니스를 희롱한다.
$^完全に主導権は(.+?)の手にあり、俺にはどうすることも出来ない。$	완전하게 주도권은 $1의 손에 있어, 나에게는 어떻게 하는 일도 할 수 없다.
$^(.+?)の手の動きが徐々に激しくなる。$	$1의 손의 움직임이 서서히 격렬해진다.
$^(.+?)の手の使い方は本当に巧みで、俺は良いように弄ばれていた。$	$1의 손의 사용법은 정말로 교묘해, 나는 좋게 희롱해지고 있었다.
$^……(.+?)、そろそろ我慢出来ない、かな……？$	……$1, 슬슬 인내 할 수 없는, 일까……?
$^散々焦らされまくり、疼くような快感を昂ぶらせ、俺は限界を(.+?)に告げる。$	심하게 초조하게 해지고 걸어, 쑤시는 것 같은 쾌감을 고조되게 해 나는 한계를 $1에 고한다.
$^すると(.+?)も笑みを浮かべて、俺の言葉に頷いてくれた。$	그러자 $1도 미소를 띄워, 나의 말에 수긍해 주었다.
$^(.+?)はそのまましっかりと、根元まで深くペニスを咥えていく。$	$1는 그대로 제대로, 근원까지 깊게 페니스를 물어 간다.
