$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^は、ははは……何か(.+?)がだんだん怖くなってきたな。$	(은)는, 하하하……무엇인가 $1가 점점 무서워졌군.
$^おお、何だか堂に入ってるね、(.+?)。$	, 무엇인가 원숙해지고 있구나, $1.
$^いや、(.+?)がものすごく頑張ってるってことは伝わってきたよ。$	아니, $1가 대단히 노력하고 있다고 (일)것은 전해져 왔어.
$^(.+?)、あんまり根を詰めてやらなくてもいいんだよ。$	$1, 별로 뿌리를 채워 주지 않아도 괜찮아.
$^(.+?)に華道をやってもらってるのは、あくまでも女性らしさを磨いて欲しいからなんだ。$	$1에 화도를 해 주고 있는 것은, 어디까지나 여성다움을 닦았으면 좋기 때문에야.
$^いや、いいんだよ。そういう真面目なところが、(.+?)の最大の魅力だからね。$	아니, 좋아. 그러한 성실한 곳이, $1의 최대의 매력이니까.
$^調子はどうかな、(.+?)。$	상태는 어떨까, $1.
$^もちろんだよ。(.+?)の頑張りをみんなに見てもらいたいからね。$	물론이야. $1의 분발함을 모두에게 보이고 싶으니까.
$^それが(.+?)の個性なんだと思うよ。別にいいんじゃないか？$	그것이 $1의 개성이야라고 생각해. 별로 좋지 않을까?
$^今日は何をしているの、(.+?)。$	오늘은 무엇을 하고 있는 것, $1.
$^大丈夫、(.+?)だったら綺麗なのが作れると思うよ。$	괜찮아, $1라면 깨끗한 것이 만들 수 있다고 생각해.
$^そんなの、もちろん(.+?)だよ。$	그런 것, 물론 $1야.
$^大丈夫、俺の心は(.+?)にしか向いてないよ。$	괜찮아, 나의 마음은 $1밖에 향하지 않았어.
$^ううん、これといってないかな。綺麗だったら何でも好きだよ。(.+?)は？$	으응, 이렇다 하지 않을까. 깨끗하면 뭐든지 좋아해. $1는?
$^じゃあ(.+?)の誕生日には、赤いチューリップとワスレナグサを毎年送るよ。$	자 $1의 생일에는, 붉은 튤립과 물망초를 매년 보내.
$^(.+?)、化粧してるんだ。$	$1, 화장하고 있어.
$^多分、(.+?)に合わないメイクをしてるからだと思う。$	아마, $1에 맞지 않는 메이크를 하고 있으니라고 생각한다.
$^(.+?)は元がかわいいんだから、あんまり濃い化粧はいらないと思うよ。$	$1는 원이 귀엽기 때문에, 너무 진한 화장은 필요없다고 생각해.
$^人にも寄るけど、(.+?)はもっと素朴な方がかわいいと思うんだ。$	사람에게도 모이지만, $1는 좀 더 소박한 (분)편이 귀엽다고 생각한다.
$^あれ、(.+?)だよね？$	저것, $1지요?
$^(.+?)の顔を見るのが楽しみになってきたな。$	$1의 얼굴을 보는 것이 기다려지게 되었군.
$^ああ、(.+?)の化粧はかわいいというより綺麗って感じだな。$	아, $1의 화장은 귀엽다고 하는 것보다 깨끗하다는 것은 느낌이다.
$^(.+?)はどんな化粧をしてても魅力的ってことだよ。$	$1는 어떤 화장을 해도 매력적은 것이야.
$^やあ、(.+?)。何をやってるの？$	야, $1. 무엇을 해?
$^ははは、メイクもいいけど、(.+?)は一番大事なことを忘れてるよ。$	하하하, 메이크도 좋지만, $1는 제일 소중한 일을 잊고 있어.
$^ほら、(.+?)は笑うとこんなにかわいいんだから。$	이봐요, $1는 웃는 곳 무엇인가원 좋기 때문에.
$^(.+?)にとって、化粧なんておまけだね。$	$1에 있어, 화장은 덤이구나.
$^(.+?)が楽しそうなところが見られて嬉しいよ。それに、今日はいつもと雰囲気がちょっと違うね。$	$1가 즐거운 듯 하는 곳이 볼 수 있어 기뻐. 게다가, 오늘은 평상시와 분위기가 조금 다르군요.
$^わかってて言ったの？　(.+?)も人が悪いなぁ。$	알고 있어 말했어? $1도 성질이 나쁘다.
$^それもいいけど、(.+?)は何をつけても似合うし、俺は色々な\1が見たいかな。$	그것도 좋지만, $1는 무엇을 붙여도 어울리고, 나는 다양한 $1를 보고 싶을까.
$^あれ、(.+?)。化粧してるんだ。$	저것, $1. 화장하고 있어.
$^そんなことしなくても、俺は(.+?)のことしか眼中にないよ。$	그런 일 하지 않아도, 나는 $1밖에 안중에 없어.
$^たまによそ見くらいはするけど、俺だって好きなのは(.+?)だけだよ。$	이따금 곁눈질 정도는 하지만, 나라도 좋아하는 것은 $1뿐이야.
$^ああ、(.+?)か。どうかしたの？$	아, $1인가. 어떻게든 했어?
$^そうだなぁ、俺は薄くてもいいと思うよ。(.+?)は素材がいいからね。$	그렇다, 나는 얇아도 괜찮다고 생각해. $1는 소재가 좋으니까.
$^でも、(.+?)だったらきっちりメイクでも綺麗に見えると思う。どっちでもいいかな。$	그렇지만, $1라면 빈틈없이 메이크에서도 깨끗이 보인다고 생각한다. 어느 쪽이라도 좋을까.
$^違うよ、どんな化粧をしてたって、(.+?)は俺が大好きな\1だってこと。$	달라, 어떤 화장을 하고 있었던은, $1는 나를 아주 좋아하는 $1도 일.
$^……おお、綺麗だね、(.+?)。$	……, 깨끗하다, $1.
$^完璧だと思う。綺麗すぎて、思わず(.+?)の唇に吸い付きたくなっちゃったよ。$	완벽하다고 생각한다. 너무 깨끗해, 무심코 $1의 입술에 달라붙고 싶어져 버렸다.
$^(.+?)、エステのマッサージはどう？$	$1, 에스테틱의 맛사지는 어때?
$^いいんだよ。(.+?)がもっと綺麗になってくれたら俺も嬉しいからね。$	좋아. $1가 좀 더 깨끗이 되어 주면(자) 나도 기쁘니까.
$^んー、(.+?)はもともと綺麗だからなぁ。$	응―, $1는 원래 깨끗하기 때문에.
$^うんうん、恥ずかしがってる(.+?)もかわいいよ。$	응응, 부끄러워하고 있는 $1도 귀여워.
$^ごめん、だって(.+?)がすごく気持ちよさそうな顔してるからさ。$	미안, 이래 $1가 몹시 기분이야 유혹한데 얼굴 하고 있으니.
$^(.+?)、ちょっと触ってみていい？$	$1, 조금 손대어 봐도 좋아?
$^気持ちよさそうだね、(.+?)。$	기분이야 유혹하는이구나, $1.
$^ははは、(.+?)がそこまで蕩けきった顔をするの、珍しいよね。$	하하하, $1가 거기까지 녹고 자른 얼굴을 하는 것, 드물지요.
$^やあ、(.+?)。エステの感想は？$	야, $1. 에스테틱의 감상은?
$^笑ってるし……(.+?)って触られるの苦手だっけか。$	웃고 있고…… $1는 손대어지는 것 서투르던가인가.
$^はは、(.+?)が気持ちよさそうだ。$	(은)는은, $1가 기분이야 유혹하는이다.
$^なら(.+?)は安心だな。俺はいつでも\1が綺麗だと思ってるよ。$	(이)라면 $1는 안심이다. 나는 언제라도 $1가 깨끗하다고 생각하고 있어.
$^(.+?)、リラックスしてるみたいだね。$	$1, 릴렉스 하고 있는 것 같다.
$^……本当に気持ちよさそうだね、(.+?)。$	……정말로 기분이야 유혹하는이구나, $1.
$^あ、あのさ、(.+?)。ひょっとして感じたりしてない？$	아, 그런데 말이야, $1. 혹시 느끼거나 하지 않아?
$^いや、(.+?)があまりに色っぽい声を出すからさ……$	아니, $1가 너무나 요염한 소리를 내기 때문에 ……
$^やあ、(.+?)。掃除してるんだ。$	야, $1. 청소하고 있어.
$^(.+?)って、実は掃除好き？$	$1는, 실은 청소를 좋아하는 사람?
$^(.+?)に掃除を任せたら、塵一つ落ちてないってくらい綺麗になりそうだなぁ。$	$1에 청소를 맡기면(자), 진1개(살) 떨어지지 않다고 정도 깨끗이 될 것 같다.
$^うわ、ピッカピカだ……(.+?)はすごいよ。徹底してるね。$	위, 픽커 피카(아시아 민간 투자 회사)다…… $1는 대단히. 철저히 하고 있구나.
$^頑張ってるね、(.+?)。今日は何してるの？$	노력하고 있구나, $1. 오늘은 어떻게 해?
$^精が出るね、(.+?)。$	힘쓰는군, $1.
$^(.+?)は掃除が好きなんだね。$	$1는 청소를 좋아하구나.
$^でも、(.+?)の部屋はいつ見ても片付いてて綺麗だよね。$	그렇지만, $1의 방은 언제 봐도 정리되고 있어 깨끗하지.
$^ううん、(.+?)に任せたら大事なものまで捨てられちゃいそうだし。$	으응, $1에 맡기면(자) 소중한 것까지 버려져버릴 것 같고.
$^あれ、そうだったの？　てっきり(.+?)の匂いかと思った。$	저것, 그랬어?　틀림없이 $1의 냄새일까하고 생각했다.
$^でもほら、(.+?)からもいい匂いがするし。$	그렇지만 이봐요, $1로부터도 좋은 냄새가 나고.
$^(.+?)の匂いって、なんか少し興奮するよね。$	$1의 냄새는, 어쩐지 조금 흥분하지요.
$^掃除してるんだ、(.+?)。$	청소하고 있어, $1.
$^(.+?)の様子を見に来たんだ。調子はどう？$	$1의 상태를 보러 왔다. 상태는 어때?
$^心配しなくても俺はいつでも(.+?)のものだよ。$	걱정하지 않아도 나는 언제라도 $1의 것이야.
$^ああ、そういうことか。(.+?)はエッチだなぁ。$	아, 그런 것인가. $1는 음란하다.
$^精が出るね、(.+?)。すごく綺麗になってるよ。$	힘쓰는군, $1. 몹시 깨끗이 되어 있어.
$^(.+?)の掃除？　それって……$	$1의 청소?　그 거……
$^あれ、(.+?)。何だか難しそうな顔をしてるね。どうしたの？$	저것, $1. 왠지 어려울 것 같은 얼굴을 하고 있구나. 왜?
$^(.+?)は、こういう部屋が好きっていうのは何かない？$	$1는, 이런 방을 좋아한다고 말하는 것은 무엇이지 있고?
$^そうすれば(.+?)らしいコーディネートになるし、素敵じゃないかな。$	그러면 $1인것 같은 코디네이터가 되고, 멋진 것이 아닐까.
$^何か悩んでるのかな、(.+?)。$	무엇인가 고민하고 있을까, $1.
$^(.+?)はどうしたいの？$	$1는 어떻게 하고 싶은거야?
$^だったらやってみなよ。模様替えを任されてるのは(.+?)なんだからさ。$	그렇다면 해 봐. 재배치를 맡고 있는 것은 $1니까.
$^この部屋、いい感じだね。(.+?)が模様替えしてくれたの？$	이 방, 좋은 느낌이구나. $1가 재배치해 주었어?
$^よし、それじゃ俺の部屋も(.+?)にコーディネートしてもらおうかな。$	좋아, 그러면 나의 방도 $1에 코디네이터 받을까.
$^(.+?)、どうしたの。困った顔して。$	$1, 왜. 곤란한 얼굴 해.
$^もちろん、(.+?)だってここのメイドなんだからね。自信を持っていいよ。$	물론, $1도 여기의 메이드니까. 자신을 가지고 있어라.
$^(.+?)の好きなようにやって構わないからね。$	$1가 좋아하는 것 같게 해 상관없으니까.
$^やあ、(.+?)。今日は何をしてるの？$	야, $1. 오늘은 무엇을 해?
$^そっか、(.+?)には色々と任せてるもんね。言ってみてよ。$	그래, $1에는 다양하게 맡기고 있는 것이군요. 말해 봐.
$^ありがとね、(.+?)。$	고마워, $1.
$^(.+?)がやってくれたんだ。何か明るくなったよね。$	$1가 해 주었다. 무엇인가 밝아졌지.
$^ああ、(.+?)。どうしたの？$	아, $1. 왜?
$^それじゃよろしくね、(.+?)。$	그러면 잘 부탁해, $1.
$^いや、びっくりしたよ。(.+?)は本当に勉強家だね。$	아니, 놀랐어. $1는 정말로 공부가구나.
$^もちろん。(.+?)が一緒だったらいいお酒が飲めそうだ。$	물론. $1가 함께라면 좋은 술을 마실 수 있을 것 같다.
$^大丈夫、(.+?)ならきっと最高のメイドになれるよ。$	괜찮아, $1라면 반드시 최고의 메이드가 될 수 있어.
$^どうかな、(.+?)。そろそろ接客は慣れてきた？$	어떨까, $1. 슬슬 접객은 익숙해져 왔어?
$^大丈夫、酔ってる(.+?)もかわいいから。それで十分だよ。$	괜찮아, 취하고 있는 $1도 귀여우니까. 그래서 충분해.
$^そりゃもう、(.+?)といっぱい愛し合いたい。$	그렇다면 이제(벌써), $1와 가득 서로 사랑하고 싶다.
$^う、ううん、(.+?)だけかはわからないけど……$	, 으응, $1만일 수 있는인가는 모르는데……
$^さあ、(.+?)。今日は接客の練習だよ。$	자, $1. 오늘은 접객의 연습이야.
$^ははは、まあ(.+?)ならそう言うと思ったよ。でも仕事だからね。$	하하하, 뭐 $1말하자 말한다고 생각했어. 그렇지만 일이니까.
$^わかった、頑張ってくれたらご褒美をあげる。(.+?)が望むものを用意するよ。$	안, 노력해 주면(자) 포상을 준다. $1가 바라는 것을 준비할게.
$^甘えん坊だなぁ、(.+?)は。$	응석꾸러기구나, $1는.
$^(.+?)もだいぶお酒の進め方がうまくなったね。お陰で酔っぱらっちゃったよ。$	$1도 많이 술의 진행방식이 잘 되었군요. 덕분으로 술취해 버렸다.
$^１０分くらい前かなぁ……(.+?)、集中してたから話しかけづらくて……。$	10분 정도 전일까…… $1, 집중하고 있었기 때문에 말을 건네기 힘들어서…….
$^うぉぉ……これは気持ちいい。流石(.+?)、的確なアドバイスだね。$	……이것은 기분이 좋다. 유석 $1, 적확한 어드바이스구나.
$^(.+?)、かなり詳しいんだね。$	$1, 꽤 자세하다.
