身長	신　장
ナースキャップ・赤	간호사 캡
ナースキャップ・青	간호사 캡
ナースさんのキャップ。ナースといえばこちらのキャップ。医学への意識が高まる気がします。	간호사님의 캡. 널스라고 하면 이쪽의 캡. 의학에의 의식이 높아질 생각이 듭니다.
バニーカチューシャ	바니 카츄샤
バニーカチューシャ・白	바니 카츄샤
バニーカチューシャ・紫	바니 카츄샤
バニーカチューシャ・青	바니 카츄샤
バニーカチューシャ・黄	바니 카츄샤
バニーガールのカチューシャ。いわゆるうさみみ。これがないとバニーとは言えません。	바니걸의 카츄샤.\n이른바 토끼 귀. 이것이 없으면 바니라고는 말할 수 없습니다.
ビキニアーマーヘルム	비키니 아머 헬멧
ビキニアーマーヘルム・白	비키니 아머 헬멧
ビキニアーマーヘルム・緑	비키니 아머 헬멧
ビキニアーマーヘルム・赤	비키니 아머 헬멧
ビキニアーマーヘルム・黒	비키니 아머 헬멧
ビキニアーマーのヘルム。戦うオトメって感じです。	비키니 아머의 헬멧.\n싸우는 소!녀!라는 느낌입니다.
メロゥエンプレスティアラ	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・桃	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・煌海	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・煌蒼	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・白翠	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・銀翠	멜로우 엠프리스 티아라
メロゥエンプレスティアラ・銀蒼	멜로우 엠프리스 티아라
淑やかな女王のティアラ。高貴なる光は、美しき花を輝かせる。	정숙한 여왕의 티아라.고귀한 빛은 아름다운 꽃을 빛나게 한다.
LAMUNATION!・アイリスウェア	LAMUNATION!ㆍ아이리스 웨어
WHITE POWDERコラボ衣装。LAMUNATION!のアイリスのウェア。	WHITE POWDER 콜라보 의상.\nLAMUNATION!의 아이리스의 의상.
LAMUNATION!・らむねウェア	LAMUNATION!ㆍ라무네 웨어
WHITE POWDERコラボ衣装。LAMUNATION!のらむねのウェア。	WHITE POWDER 콜라보 의상.\nLAMUNATION!의 라무네의 의상.
naoさんサイン入りTシャツ	nao씨 사인 T셔츠
naoさんのサイン入りTシャツ。美少女ゲームSIXTEENの記念品。え、もったいなくて着れない？大丈夫、ゲーム内だから！	nao씨의 사인 T셔츠.\n미소녀 게임 SIXTEEN의 기념품.\n뭐, 아까워서 못 입어? 괜찮아, 게임 안이니까!
Ｐｉａ３・トロピカル上着	PiaCarrot3ㆍ트로피컬 상의
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。トロピカルタイプ。水着の上には短めの上着を着用。	Pia캐럿 미사키 해안길점(4호점)교복. 열대형. 수영복 위에는 짤막한 웃옷을 착용.
Ｐｉａ３・ぱろぱろ上着	PiaCarrot3ㆍ파로파로 상의
Ｐｉａキャロット美崎海岸通り店（４号店）の制服。ぱろぱろタイプ。ブラウスの上に肩パーツを着用。腕にはひらひらリボン。	Pia캐럿 미사키 해안길점(4호점)교복. 파로 파로 타입 블라우스 위에 어깨 부분을 착용. 팔에는 팔랑 리본.
サイ・リリーウェア	사이ㆍ릴리 웨어
サイちゃんのウェア。	사이쨩의 웨어
ちくちくTシャツ	쿡쿡 T셔츠
ちくちく、ちくちく……あれれ……縫い目が綺麗に揃わない……ちくちくちく、ちくちくちく……えっ……ご、ご主人様っ！？	쿡쿡, 쿡쿡……어라……솔기가 예쁘게 갖추어지지 않다……따끔따끔 자치구, 따끔따끔 자치구 뭐……미, 주인님!?
ディル・ブラッドウェア	디르ㆍ블러드 웨어
ディルちゃんのウェア。	디르쨩의 웨어
まいてつ・ハチロクウェア	마이테츠ㆍ하치로쿠 웨어
Loseコラボ衣装。まいてつのハチロクのウェア。旧帝鉄8620形蒸気機関車のように、煌めく黒に、金のラインが映え渡る。	Lose 콜라보 의상.\n마이테츠의 하치로쿠 웨어.\n구 제국철도 8620형 증기기관차처럼, 빛나는 검정으로, 금속 라인이 반짝이며 뻗어갑니다.
まいてつ・れいなコート	마이테츠ㆍ레이나 코트
Loseコラボ衣装。まいてつのれいなのコート。御一夜鉄道キハ07Sのように、紅とクリーム色の甘い配色が可愛い。	Lose 콜라보 의상.\n마이테츠의 레이나 코트.\n오히토요 철도 키하07S 처럼,\n주홍색과 크림색의 달콤한 배색이 사랑스럽다.
レーシングメイドウェア	레이싱 메이드 웨어
レースクイーンなメイドのウェア。ところどころにメイドっぽい可愛さ。当然脇は見せてきます。	레이스 퀸 메이드의 웨어. 군데군데 메이드는 귀여움. 당연히 와키는 보입니다.
ワガハイ・桜翠学園制服上着	와가하이ㆍ오우스이학원 제복 상의
まどそふとコラボ衣装。ワガママハイスペックの桜翠学園の制服の上着。	마도스프트 콜라보 의상.\n와가마마 하이스펙의 오우스이학원 제복 상의.
女教師ブラウス	여교사 블라우스
女教師っぽいブラウス。胸のリボンで気合十分。今日も学生さんの為にはりきります。	여선생 같은 블라우스. 가슴의 리본에서 기합 충분하다.오늘도 학생 때문에 활기를 띱니다.
純真・おぶ・えんぱいあTシャツ	순진ㆍ오브ㆍ엠파이어 T셔츠
背中に大きくえんぱいあ。純真ちゃんのどや顔が眩しいです。イベントなどに良いかもしれません。	등가운데에 거다랗게 엠파이어.\n순진쨩의 자신만만한 얼굴이 눈부십니다.\n이벤트등에 좋을지도 모르겠습니다.
電気外祭り2015冬Tシャツ	전기외축제 2015겨울 T셔츠
電気外祭り2015冬の記念Tシャツ。冬の寒さを感じる青色です。前面は結構シンプル。	전기 외 축제 2015겨울의 기념 T셔츠. 겨울의 추위를 느끼는 파란 색입니다. 앞면은 꽤 간단하다.
電気外祭り2015夏Tシャツ	전기외축제 2015여름 T셔츠
電気外祭り2015夏の記念Tシャツ。夏の太陽の暑さを感じる黄色です。前面は結構シンプル。	전기 외 축제 2015여름의 기념 T셔츠. 여름의 태양의 더위를 느낄 노랑 색입니다.앞면은 꽤 간단하다.
イノセントメイドウェア	이노센트 메이드 웨어
イノセントメイドウェア・紫	이노센트 메이드 웨어
イノセントメイドウェア・緑	이노센트 메이드 웨어
イノセントメイドウェア・赤	이노센트 메이드 웨어
イノセントメイドウェア・青	이노센트 메이드 웨어
イノセントなメイドウェア。見ていると心が浄化される気がします。	결백한 메이드 웨어. 보고 있으면 마음이 정화될 생각이 듭니다.
エレガンスメイドウェア	엘레강스 메이드 웨어
エレガンスメイドウェア・桃	엘레강스 메이드 웨어
エレガンスメイドウェア・緑	엘레강스 메이드 웨어
エレガンスメイドウェア・赤	엘레강스 메이드 웨어
エレガンスメイドウェア・青	엘레강스 메이드 웨어
エレガンスなメイドウェア。上品な雰囲気を感じさせます。胸のフリルがチャームポイント。	엘레강스인 메이드 웨어. 품위있는 분위기를 느끼게 합니다. 가슴의 프릴이 매력 포인트.
エロメイドウェア	에로 메이드 웨어
エロメイドウェア・紫	에로 메이드 웨어
エロメイドウェア・緑	에로 메이드 웨어
エロメイドウェア・青	에로 메이드 웨어
エロメイドウェア・黒	에로 메이드 웨어
エロいメイドウェア。ホルターネックで胸を強調。背中もばっくり見せちゃいます。	에로 메이드복. 호루타 걸림돌로 가슴을 강조. 등도 바쯔크리 보이네요.
クラシカルメイドウェア	클래시컬 메이드 웨어
クラシカルメイドウェア・紫	클래시컬 메이드 웨어
クラシカルメイドウェア・緑	클래시컬 메이드 웨어
クラシカルメイドウェア・赤	클래시컬 메이드 웨어
クラシカルメイドウェア・青	클래시컬 메이드 웨어
クラシカルなメイドウェア。レースで彩られた素敵な仕事着です。大きなリボンもポイント。	클래식한 메이드복.\n레이스로 장식된 멋진 작업복입니다.\n커다란 리본도 포인트.
ゴスロリメイドウェア	고스로리 메이드 웨어
ゴスロリメイドウェア・紫	고스로리 메이드 웨어
ゴスロリメイドウェア・赤	고스로리 메이드 웨어
ゴスロリメイドウェア・青	고스로리 메이드 웨어
ゴスロリメイドウェア・黒	고스로리 메이드 웨어
ゴスロリなメイドウェア。ゴスロリのようでありながらも、メイド服の良さもある贅沢な上着です。前も後ろも結構セクシーです。	고스로리인 메이드 웨어. 고스로리인 것 같고면서도, 메이드옷의 좋은 점도 있는 사치스러운 윗도리입니다. 전도 뒤도 상당히 섹시입니다.
セクシーメイドウェア	섹시 메이드 웨어
セクシーメイドウェア・桃	섹시 메이드 웨어
セクシーメイドウェア・緑	섹시 메이드 웨어
セクシーメイドウェア・赤	섹시 메이드 웨어
セクシーメイドウェア・青	섹시 메이드 웨어
セクシーなメイドウェア。ちょっぴり刺激なセクシー全開。大胆に魅せていく胸と背中。……もう、メロメロです。	섹시인 메이드 웨어. 조금 자극인 섹시 전개. 대담하게 매료 시켜 가는 가슴과 등. ……이제, 헤롱헤롱입니다.
セパレートメイドウェア	세퍼릿 메이드 웨어
セパレートメイドウェア・桃	세퍼릿 메이드 웨어
セパレートメイドウェア・紫	세퍼릿 메이드 웨어
セパレートメイドウェア・緑	세퍼릿 메이드 웨어
セパレートメイドウェア・赤	세퍼릿 메이드 웨어
セパレートメイドウェア・青	세퍼릿 메이드 웨어
セパレートなメイドウェア。涼しげに可愛くきまります。カップをなぞるフリルが印象的。	세퍼릿 메이드복. 시원하게 귀여운 일정합니다. 컵을 빗대고 주름이 인상적이다.
ダンシングメイドウェア	댄싱 메이드 웨어
ダンシングメイドウェア・桃	댄싱 메이드 웨어
ダンシングメイドウェア・橙	댄싱 메이드 웨어
ダンシングメイドウェア・赤	댄싱 메이드 웨어
ダンシングメイドウェア・青	댄싱 메이드 웨어
ダンシングなメイドウェア。動きやすさを重視しつつ、可愛らしく。華やかであり、軽やか。	댄싱 메이드복. 움직이기 편함을 중시하면서 아기자기하다. 화려하고 있고 경쾌. 
ツンゴスメイドウェア	츤 고스 메이드 웨어
ツンゴスメイドウェア・紫	츤 고스 메이드 웨어
ツンゴスメイドウェア・赤	츤 고스 메이드 웨어
ツンゴスメイドウェア・青	츤 고스 메이드 웨어
ツンゴスメイドウェア・黒	츤 고스 메이드 웨어
ツンゴスなメイドウェア。ヒラヒラの大きな振袖が特徴です。	츤 고스인 메이드 웨어. 팔랑팔랑의 큰 후리소데가 특징입니다.
なでしこメイド羽織	나데시코 메이드 하오리
