主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
そ、それなり……でしょうか？　いっぱい……かな、え～っと……えへへ……	그, 그런 대로……일까요? 잔뜩……이려나, 으~음……에헤헤……
うぅ、この格好はご主人様が……うぅ～っ……でも、お尻ですると、わたし……ちょっと息苦しくて、きつくて……でも……	우우, 이 모습은 주인님이…… 우우~웃…… 그래도, 엉덩이로 하면, 저…… 조금 답답하고, 힘들어서……그래도……
あうう、わたしったら、すっごくエッチな事……こんな格好して、ちょっと混乱しちゃってるのかな……？	아우우, 저도 참, 너무 야한 걸……이런 모습을 해서, 조금 혼란스러운 걸까……?
…………は、はい……だって、お……おまんこよりも、おちんちんいれるなら、お尻のほうが気持ち良いからぁ……	…………네, 네…… 그게, 보……보지 보다도, 자지를 넣는다면, 엉덩이 쪽이 기분 좋으니까……
こんな、その……意地悪な格好をさせるご主人様には、こ、答えないです……	이런, 그……짓궂은 모습을 시키는 주인님에게는, 대, 대답하지 않아요……
……えっと、うぅっ……し、しました、しましたよう……何回も、何回も……だってぇ、相手の男の人が、求めてくるから……うぅっ……	……음, 우웃……해, 했어요, 했다구요…… 몇번이나, 몇번이나…… 왜냐면, 상대방 남자가, 요구했으니까요…………
無理やり犯されたわけじゃ、ないですけど……うぅっ……なかなか、その……おちんちん抜いてくれなくて、もうっ……	억지로 범해진 건, 아니지만요……우웃……꽤, 그……자지를 빼 주지 않아서, 정말……
へぇ、一晩に何回も何回もされちゃった……とか？　ねぇ、何回ぐらいされちゃった？	헤에, 하룻밤에 몇번이나 몇번이나 해버렸다……든지? 저기, 몇 번이나 했어?
…………流石に、回数までは……あう、その、それに、途中から覚えてないですし……	…………아무래도, 횟수까지는…… 아우, 그, 그리고, 하던 중의 기억이 않나서……
…………は、はい……あううっ……わたしは、その……そういう、お尻が好きな女の子です……	…………네, 네…… 아우웃…… 저는, 그…… 그런, 엉덩이를 좋아하는 여자에요……
うぅ、ご主人様、せくはらって、知ってますか……？　これ以上、わたしに恥ずかしい思いをさせないでください……	우우, 주인님, 성희롱인 거, 아세요?……? 더 이상, 저에게 부끄러운 생각이 들게 하지 말아 주세요……
すごく今更だね……ね、ご主人様が聞いてるんだから答えなきゃダメだよ。	너무 새삼스럽네…… 저기, 주인님이 묻고 있으니까 대답하지 않으면 안 돼.
……はううっ……ご主人様のえっち、えっち……どこまでわたしをはずかしくさせたら……許してくれるんですか……？	……하우웃……주인님은 야해, 야해…… 어디까지 절 부끄럽게 만들면……용서해 주나요……?
うぅっ……わたしは、おまんこと……けつまんこで、そのっ……し、したこと、あります……両方のエッチ穴に……は、ハメてもらいました……	우웃…… 저는, 보지랑…… 엉덩이 보지로, 그…… 하, 한 적 있어요…… 양쪽의 야한 구멍에…… 바, 박았어요……
はぁああっ……言っちゃった、言っちゃったぁ……うぅ～っ……ひどいですぅ……こ、こんなの……あんまりですよう、ご主人様っ……くぅうんっ……	하아아앗…… 말해 버렸다, 말해 버렸다……우우~웃…… 너무해요 ……이, 이런 건……지나쳐요, 주인님…………
……どうしても、答えないと……ですか……？　ご主人様、この格好をしているだけで満足していただけませんか？	……어떻게든, 대답을 해야……하나요……? 주인님, 이런 모습을 하고 있는 것만으로 만족해 주실 수 없나요?
正直に答えてくれるメイドのほうが、俺は好きだな。	정직하게 대답해 주는 메이드 쪽을, 나는 좋아하지.
エッチな事、その……した事はあります。でも、自分から望むなんて事はほとんど無いですよ……？	야한 거, 그……한 적 있어요. 그치만, 스스로 원했던 적은 거의 없다구요……?
わたし、なんででしょうか……い、苛められる事が多くって……普通にエッチな事していて、お、お尻まで求められて……	저, 왜 그럴까요…… 괴, 괴롭혀진 적이 많아서……평범하게 야한 걸 하면서, 어, 엉덩이까지 요구당해서……
…………うぅ、そう、です……けつまんこまで、されちゃいました……はううっ……だって、だってぇ、したいって言ったからぁ。	…………우우, 그래, 요…… 엉덩이 보지까지, 당해버렸어요……하우웃……그게, 그게, 하고 싶다고 했으니까.
あんなにおっきなおちんちんで迫られたら、わたし……うぅ～っ……わたしって、その、淫乱なのでしょうか……？	그렇게 큰 자지로 요구하면 저……우우~웃……저는, 그, 음란한 걸까요……?
……そうかもね。	……그럴지도.
はぁ……はううっ……あの、ご主人様のメイドになったら……今以上に、エッチな事、されちゃうんですよね……？　どきどき、です……	하아……하우웃……저기, 주인님의 메이드가 되면……지금 이상으로, 야한 걸, 당하는 거네요……? 두근두근, 해요……
……な、何で今、この格好で……え、エッチな格好をしたわたしに聞くのですか……？	……뭐, 뭘 지금, 이런 모습으로……야, 야한 모습을 한 저에게 묻는 건가요……?
かな？　じゃないですようっ！　うぅっ……でも、きっとエンパイアクラブのメイドは、そういったものにちゃんと答えなくてはいけないのですね……	걸까? 가 아니라구요!? 우웃……그래도, 분명 엠파이어 클럽의 메이드는, 그런 것에 분명히 대답하지 않으면 안 되겠네요……
……あの、えっと、うぅ……今までえっちした男の人の数は、その……あんまり覚えていないです……	……저기, 음, 우우…… 지금까지 섹스한 남자의 수는, 그…… 거의 기억나지 않아요……
……すごいな。	……대단해.
だ、だって、その……一度、二人っきりじゃないえっちもしたことがありますから……	왜, 왜냐면 그……한 번, 단 둘이 아닌 섹스도 한 적 있으니까요……
詳しく、えっちな感じで教えてくれる？	자세하게, 야한 느낌으로 가르쳐 줄래?
……おまんこと、その……けつまんこに、おちんちんを、ね、捻じ込まれました……あ、でもでも、その、マワされちゃったとか、そういうのじゃないんですよ？	……보지와 그…… 엉덩이 보지에, 자지를, 쑤, 쑤셔 넣었어요……아, 그래도 그래도, 그, 돌림빵 당했다든지, 그런 건 아니라구요?
